,description,eye_color,hair_color,sex
0,"A woman with high cheekbones, a defined jawline and a small nose. She has full lips and light-green eyes. She has blonde hair and is wearing makeup.",,,
1,"A woman with a chiselled jaw, prominent cheekbones, a long, narrow nose and thin eyebrows. She has long, messy, black hair and she is wearing makeup.",,,
2,"A woman with long hair, dark eyes, a small nose and thin lips",,,
3,"A fair woman with shiny golden locks, an oblong face and radiant skin. She has thin eyebrows, shimmery green eyes, a straight nose, plump rosy cheeks, full lips and pristine teeth. She is wearing make-up and smiling.",,,
4,A middle-aged man with short brown hair and small brown eyes. His lips are thin and he is smiling. He has got a square jaw,,,
5,"A man with short hair, blue eyes, a small nose and thin lips",,,
6,"Woman with wavy, light brown hair and dark brown roots. She is wearing make-up and smiling warmly, facing forward.",,,
7,"this man does not have hair, he has thin eyebrows and small subtle eyes. his nose is long and his lips are full",,,
8,"Profile of a balding white man, having a wide smile and a furrowed forehead. He is looking towards the left.",,,
9,"A bald man with thin eyebrows, brown eyes, a big and pointed nose and thin lips.",,,
10,"An older woman with short, blonde hair and full lips. She has a prominent chin and is wearing makeup.",,,
11,An middle-aged woman with short blonde hair. Her eyebrows are darker than her hair colour. Her eyes are brown and there is some dark make-up around them. Her lips are thick and they are full. She is smiling with her lips parted and her upper teeth are visible.,,,
12,An old pale white woman with short blonde hair brown eyes and red lips,,,
13,this man has long grey hair. he is wearing black glasses and his nose is pointed. he also has a moustache,,,
14,"this woman has ginger coloured long hair. she also has a fringe.  she has green eyebrows and a small nose, her lips are glossy pink",,,
15,A man with medium-length grey hair and a receding hairline. His eyes are very small and they can barely be seen. He has got wrinkles on his face. His lips are pressed into a smile and around them he has got a grey beard with white patches.,,,
16,"An elderly man with short hair, dark eyes, a pointed nose and thin lips",,,
17,"A woman with a fair complexion, pulled-back blonde hair, a long straight fringe covering her forehead and a slim face. She has arched eyebrows, blue eyes, a straight nose, plump cheeks and full lips. She is wearing dangling earrings.",,,
18,this woman has blonde hair. she has thin eyebrows and small blue eyes. I know this point it on her lips are thin and she is wearing earrings,,,
19,"this is an older man with very thin short brown hair he is wearing big glasses on his face and a plump nose, he has wrinkles all over this face.",,,
20,"A husky, bald black man with a cleft chin. He is wearing sunglasses.",,,
21,A bald middle-aged chubby dark-skinned man wearing a pair of aviator glasses. His lips are thick and his front teeth are visible. A stubble beard is growing on his face.,,,
22,"A serious looking bald black man with a wide nose, a light stubble and is fat",,,
23,"A woman with a pale complexion, long brown hair with a side parting and a slim face. She has arched eyebrows, light green pallid eyes, a straight nose, high cheek bones, full lips and a well-defined jawline.",,,
24,"A fair woman with glowing skin, green eyes, eye-liner, thin eyebrows and pristine teeth. She has wavy, blonde hair, brown roots, rosy cheeks and is smiling.",,,
25,"A pale, smiling woman with long, black hair and full lips. She is wearing makeup, particularly, red lipstick.",,,
26,A young woman with an oval shaped face. Her hair is black and curly and she's got a fringe. Her eyes are blue and there is some black make-up around them. Her lips are full and they are painted red. Her lips are slightly parted and her upper teeth are visible.,,,
27,"A smiling woman with long black hair, brown eyes and red lips",,,
28,"A man with frosted tips, brown eyebrows, blue eyes, a slender nose, thin lips and a light stubble.",,,
29,"A woman with long, brunette hair and dark roots. She has a round face with a prominent chin and full lips. She is wearing makeup.",,,
30,"A smiling chubby white woman with long ginger hair, brown eyes and a wide nose",,,
31,"A man with short, black hair, thick eyebrows and a black cap. He has pale skin, a soul patch and a strong jaw.",,,
32,A smiling white man with green eyes and a black tuft,,,
33,"this man has short black hair, straight eyebrows and small eyes, his nose is also small and his lips are parted",,,
34,"this man is baled and his eyebrows are thin, his eyes are small and brown in colour and he has a big nose  and full lips",,,
35,"A woman with slit-eyes, thin, defined eyebrows ad thin lips. She has curly, fair hair.",,,
36,"A pouting man with short, brown hair, sunglasses, a moustache and a soul patch.",,,
37,"a white man with short brown hair and sunglasses, also pouting his lips",,,
38,"A man with short, brown hair, thick eyebrows and full lips. He has a trimmed moustache and a trimmed chinstrap beard.",,,
39,A man wearing a watch resting with a pole,,,
40,"A smiling white man with short brown hair, brown eyes and a chiseled jawline",,,
41,"An Asian woman with an oval-shaped face, pulled-back jet-black hair, a long side fringe and a pale complexion. She has well-shaped eyebrows, dark brown mono-lid eyes, a straight nose, high cheek-bones and thick lips. She is covering the left side of her face with a rose.",,,
42,"A blond man with short hair and a square face. He has thick eyebrows, blue eyes, a smirk and a 5 o'clock shadow.",,,
43,"A smiling white man with short blonde hair, green eyes and a chiseled jawline",,,
44,"An olive-skinned woman with a square-shaped face, radiant skin and long straight dark brown hair. She has thin eyebrows, brown hooded eyes, a small round nose, plump cheeks, neatly-shaped lips and a clearly-defined jawline. She is smiling and wearing dangling earrings.",,,
45,"A dark-skinned man with a black goatee, large nostrils and large black eyes. He is wearing earrings and a black baseball cap. He has thick lips and is smiling.",,,
46,"A tanned old man with receding, greying hair, light eyes, a strong jaw and a wrinkly face with droopy features.",,,
47,An old man with short hair and light-blue eyes. His lips are thin and he seems to be staring at something. His skin is wrinkled.,,,
48,An elderly man with dark hair and wrinkles,,,
49,A young woman with brown hair and small eyes with make-up around them. Her nose is small and her lips are thin. She is smiling and her upper teeth are visible,,,
50,A smiling white woman with long brown hair and brown eyes,,,
51,"A man with a pale complexion, an oval-shaped face, neatly-shaven black hair and a well-kept stubble and moustache. He has deep-set brown eyes, a straight nose, high cheek-bones, a thin upper lip and a weary look on his face.",,,
52,"Man with close-cropped hair, having a stubble and a thin upper lip who is grimacing with furrowed eyebrows.",,,
53,"A man with large cheeks, thin lips and a long nose.",,,
54,"A man with short, curly, light hair and a furrowed brow. He also has big ears.",,,
55,"A man with short, wavy hair, big ears, a small nose and thin lips",,,
56,"A woman with ginger hair, short eyebrows, small brown eyes, a long pointed nose, and small lips.",,,
57,This is an Asian woman with red hair and very thin eyebrows. Her eyes are very small and almond shaped and her nose is long and pointed she has red lipstick on,,,
58,"A white man with a square-shaped face, thin lips, a trimmed black stubble and small deep-set eyes. He has styled black hair and is smiling.",,,
59,"An old man with wrinkles. The man is bald, giving him a seemingly large forehead. The man has large ears and is wearing rounded spectacles.",,,
60,"A man with a button nose, thin lips, brown hair and a fringe covering most of his forehead. He is smiling.",,,
61,"A woman with a fair complexion, a slim oblong face and pulled-back brown hair. She has deep-set brown eyes, a slim long nose, high cheek-bones, hollow cheeks and an open mouth.",,,
62,"A woman with long, straight, brown hair. She has full lips and sculpted eyebrows.",,,
63,A young woman with small dark eyes with some make-up around them. Her lips are thin and she is smiling,,,
64,"A young woman with long hair, dark eyes, a small nose and thin lips",,,
65,"A young woman wearing a flat cap. She has a thin, pointed nose and prominent cheekbones.",,,
66,"A serious looking white woman with long brown hair, brown eyes, thin nose and lips",,,
67,"A middle aged man with a large oval-shaped face, thin lips, a white stubble and large ears. He is wearing a black baseball cap and tinted glasses.",,,
68,"A lady with long brown hair. Her eyebrows match with her hair in colour. She is very fair. She has got small eyes, a small nose and somewhat big lips. She is pouting and her teeth are showing. Her make-up looks natural. The lady is wearing large hoop earrings.",,,
69,"A focused pale white woman with long brown hair, blue eyes",,,
70,"A man with an oblong face, a tanned complexion and a clean-shaven stubble and moustache. He has brown hooded eyes, a small nose, large nostrils, high cheek-bones, thin lips and a well-defined jawline. He is wearing a cap and his mouth is open.",,,
71,"This man is wearing a black hat, he has thin rounded eyebrows and small likely colour eyes. His nose is flared and his mouth is open",,,
72,"A man with a slightly tanned complexion, shiny straight brown hair and a neatly-kept moustache and stubble. He has hazel eyes, a straight nose, a thin upper lip and a smile on his face.",,,
73,"A smiling old white woman with short white hair, green eyes and dark red lips",,,
74,"This woman with long dark hair and the fringe is wearing a black hat and she has very defined eyebrows, she has make-up on her brown eyes and her lips are red. Her nose is also long",,,
75,"A man with an elongated thin face, a long, thin nose, thin lips and a stubble. He has shaved hair and large ears. He is smiling and has prominent dimples.",,,
76,"A man with an elongated face a large chin, slit-eyes and brown hair. He has a trimmed beard and a trimmed moustache.",,,
77,"A white man with wavy brown hair, sunglasses and an open muth",,,
78,A young woman with frizzy red hair and big dark eyes with some make-up around them. Her nose is small and her lips are thin. Her lips are painted red.,,,
79,"A young woman with ginger hair, dark eyes, a small nose and thin lips",,,
80,"A woman with a round face, and dark, sparkly eyes. She has blonde, wavy hair, is smiling, has dimples and is wearing lip gloss.",,,
81,A young man with short hair wearing a white jacket,,,
82,"An elderly man with a large forehead, small eyes and droopy cheeks. He has white, short, frizzy hair, is wearing frame-less glasses and has a pensive look on his face.",,,
83,"A man with a thin long nose, large black eyes and a trimmed black stubble. He has curly thick black hair and has a smooth complexion.",,,
84,"A young man with medium skin tone, short stubble, and dark brown, voluminous, curly hair. His lips are ajar, his forehead is furrowed and his eyes are fixated on a distant object close to the ground.",,,
85,A young boy with short dark hair and thick arched eyebrows. His eyes are brown. His nose is wide and his lips are thick and heart-shaped. He has got a stubble beard. The man has a defined jawline.,,,
86,"A grinning white man with short brown hair, brown eyes and has a wide nose",,,
87,"A smiling pale white woman with long wavy red hair, green eyes and a defined jawline",,,
88,"this man has short curly brown hair, arched eyebrows and small brown eyes. his nose is long and pointed and his lips are thin and his jawline is pointed",,,
89,"A fair man with thin lips and a smile on his face. He has blonde, straight hair.",,,
90,"A bald white man with deep-set dark eyes and well-defined eyebrows. He has a straight nose, a neatly-trimmed moustache and stubble and and downward-turned lips.",,,
91,"A woman with dark brown hair, a big nose, thin lips and she is wearing a pair of sunglasses.",,,
92,"this woman is wearing black glasses, her hair is tied up in a bun. her nose is small and pointed and her lips are thin",,,
93,"A man with no hair, and a stubble beard. He has light coloured, close set eyes, thin narrow lips and protruding ears.",,,
